name,id,family,ptd_type,pos,atype,db_vect,scale
A1--Cu--fcc--100-dumbbell,A1--Cu--fcc--100-dumbbell,A1--Cu--fcc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.0000000000000 0.3333333333333'],[True]
A1--Cu--fcc--110-dumbbell,A1--Cu--fcc--110-dumbbell,A1--Cu--fcc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.2500000000000 0.2500000000000'],[True]
A1--Cu--fcc--111-dumbbell,A1--Cu--fcc--111-dumbbell,A1--Cu--fcc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.2500000000000 0.2500000000000 0.2500000000000'],[True]
A1--Cu--fcc--1nn-divacancy,A1--Cu--fcc--1nn-divacancy,A1--Cu--fcc,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.0000000000000 0.5000000000000 0.5000000000000']","[None, None]","[None, None]","[True, True]"
A1--Cu--fcc--2nn-divacancy,A1--Cu--fcc--2nn-divacancy,A1--Cu--fcc,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.0000000000000 0.0000000000000 1.0000000000000']","[None, None]","[None, None]","[True, True]"
A1--Cu--fcc--crowdion-interstitial,A1--Cu--fcc--crowdion-interstitial,A1--Cu--fcc,['i'],['0.2500000000000 0.2500000000000 0.0000000000000'],[1],[None],[True]
A1--Cu--fcc--octahedral-interstitial,A1--Cu--fcc--octahedral-interstitial,A1--Cu--fcc,['i'],['0.5000000000000 0.5000000000000 0.5000000000000'],[1],[None],[True]
A1--Cu--fcc--tetrahedral-interstitial,A1--Cu--fcc--tetrahedral-interstitial,A1--Cu--fcc,['i'],['0.2500000000000 0.2500000000000 0.2500000000000'],[1],[None],[True]
A1--Cu--fcc--vacancy,A1--Cu--fcc--vacancy,A1--Cu--fcc,['v'],['0.0000000000000 0.0000000000000 0.0000000000000'],[None],[None],[True]
A2--W--bcc--100-dumbbell,A2--W--bcc--100-dumbbell,A2--W--bcc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.0000000000000 0.3333333333333'],[True]
A2--W--bcc--110-dumbbell,A2--W--bcc--110-dumbbell,A2--W--bcc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.2500000000000 0.2500000000000'],[True]
A2--W--bcc--111-dumbbell,A2--W--bcc--111-dumbbell,A2--W--bcc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.2500000000000 0.2500000000000 0.2500000000000'],[True]
A2--W--bcc--1nn-divacancy,A2--W--bcc--1nn-divacancy,A2--W--bcc,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.5000000000000 0.5000000000000 0.5000000000000']","[None, None]","[None, None]","[True, True]"
A2--W--bcc--2nn-divacancy,A2--W--bcc--2nn-divacancy,A2--W--bcc,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.0000000000000 0.0000000000000 1.0000000000000']","[None, None]","[None, None]","[True, True]"
A2--W--bcc--crowdion-interstitial,A2--W--bcc--crowdion-interstitial,A2--W--bcc,['i'],['0.2500000000000 0.2500000000000 0.2500000000000'],[1],[None],[True]
A2--W--bcc--octahedral-interstitial,A2--W--bcc--octahedral-interstitial,A2--W--bcc,['i'],['0.0000000000000 0.5000000000000 0.5000000000000'],[1],[None],[True]
A2--W--bcc--tetrahedral-interstitial,A2--W--bcc--tetrahedral-interstitial,A2--W--bcc,['i'],['0.5000000000000 0.2500000000000 0.0000000000000'],[1],[None],[True]
A2--W--bcc--vacancy,A2--W--bcc--vacancy,A2--W--bcc,['v'],['0.0000000000000 0.0000000000000 0.0000000000000'],[None],[None],[True]
A3--Mg--hcp--0001-dumbbell,A3--Mg--hcp--0001-dumbbell,A3--Mg--hcp,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.0000000000000 0.1666666666667'],[True]
A3--Mg--hcp--1nn-basal-divacancy,A3--Mg--hcp--1nn-basal-divacancy,A3--Mg--hcp,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.5000000000000 0.5000000000000 0.0000000000000']","[None, None]","[None, None]","[True, True]"
A3--Mg--hcp--1nn-divacancy,A3--Mg--hcp--1nn-divacancy,A3--Mg--hcp,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.0000000000000 0.3333333333333 0.5000000000000']","[None, None]","[None, None]","[True, True]"
A3--Mg--hcp--2110-dumbbell,A3--Mg--hcp--2110-dumbbell,A3--Mg--hcp,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.3333333333333 0.0000000000000 0.0000000000000'],[True]
A3--Mg--hcp--2nn-divacancy,A3--Mg--hcp--2nn-divacancy,A3--Mg--hcp,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '1.0000000000000 0.3333333333333 0.5000000000000']","[None, None]","[None, None]","[True, True]"
A3--Mg--hcp--basal-crowdion-interstitial,A3--Mg--hcp--basal-crowdion-interstitial,A3--Mg--hcp,['i'],['0.5000000000000 0.0000000000000 0.0000000000000'],[1],[None],[True]
A3--Mg--hcp--basal-octahedral-interstitial,A3--Mg--hcp--basal-octahedral-interstitial,A3--Mg--hcp,['i'],['0.5000000000000 0.1666666666667 0.0000000000000'],[1],[None],[True]
A3--Mg--hcp--basal-tetrahedral-interstitial,A3--Mg--hcp--basal-tetrahedral-interstitial,A3--Mg--hcp,['i'],['0.5000000000000 -0.1666666666667 0.0000000000000'],[1],[None],[True]
A3--Mg--hcp--crowdion-interstitial,A3--Mg--hcp--crowdion-interstitial,A3--Mg--hcp,['i'],['0.0000000000000 0.1666666666667 0.2500000000000'],[1],[None],[True]
A3--Mg--hcp--octahedral-interstitial,A3--Mg--hcp--octahedral-interstitial,A3--Mg--hcp,['i'],['0.5000000000000 0.1666666666667 0.2500000000000'],[1],[None],[True]
A3--Mg--hcp--tetrahedral-interstitial,A3--Mg--hcp--tetrahedral-interstitial,A3--Mg--hcp,['i'],['0.5000000000000 -0.1666666666667 0.1250000000000'],[1],[None],[True]
A3--Mg--hcp--vacancy,A3--Mg--hcp--vacancy,A3--Mg--hcp,['v'],['0.0000000000000 0.0000000000000 0.0000000000000'],[None],[None],[True]
A4--C--dc--100-dumbbell,A4--C--dc--100-dumbbell,A4--C--dc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.0000000000000 0.1250000000000'],[True]
A4--C--dc--110-dumbbell,A4--C--dc--110-dumbbell,A4--C--dc,['db'],['0.0000000000000 0.0000000000000 0.0000000000000'],[1],['0.0000000000000 0.1666666666667 0.1666666666667'],[True]
A4--C--dc--1nn-divacancy,A4--C--dc--1nn-divacancy,A4--C--dc,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.2500000000000 0.2500000000000 0.2500000000000']","[None, None]","[None, None]","[True, True]"
A4--C--dc--2nn-divacancy,A4--C--dc--2nn-divacancy,A4--C--dc,"['v', 'v']","['0.0000000000000 0.0000000000000 0.0000000000000', '0.0000000000000 0.5000000000000 0.5000000000000']","[None, None]","[None, None]","[True, True]"
A4--C--dc--bond-centered-interstitial,A4--C--dc--bond-centered-interstitial,A4--C--dc,['i'],['0.1250000000000 0.1250000000000 0.1250000000000'],[1],[None],[True]
A4--C--dc--hexagonal-interstitial,A4--C--dc--hexagonal-interstitial,A4--C--dc,['i'],['0.6250000000000 0.6250000000000 0.6250000000000'],[1],[None],[True]
A4--C--dc--tetragonal-interstitial,A4--C--dc--tetragonal-interstitial,A4--C--dc,['i'],['0.5000000000000 0.5000000000000 0.5000000000000'],[1],[None],[True]
A4--C--dc--vacancy,A4--C--dc--vacancy,A4--C--dc,['v'],['0.0000000000000 0.0000000000000 0.0000000000000'],[None],[None],[True]
